selected_job,winner,job_name,negotiation_round,requested_due_date,requested_price,supplier,offer_due_date,offer_price,feasible_due_date,feasible_price,feasible,loss_reduction
S1J16,S2,S1J01,0,2900,8500,S2,1690,5980,True,True,True,182500
S1J16,S2,S1J01,0,2900,8500,S3,1080,5660,True,True,True,182820
S1J16,S2,S1J02,0,3280,9200,S2,2985,6570,True,True,True,179190
S1J16,S2,S1J02,0,3280,9200,S3,3240,6770,True,True,True,178990
S1J16,S2,S1J04,0,3680,10600,S2,2605,7750,True,True,True,233590
S1J16,S2,S1J04,0,3680,10600,S3,3020,7990,True,True,True,233350
S1J16,S2,S1J05,0,4060,11300,S2,1680,5980,True,True,True,225680
S1J16,S2,S1J05,0,4060,11300,S3,3275,5660,True,True,True,226000
S1J16,S2,S1J06,0,4440,12000,S2,5085,11730,False,True,False,164470
S1J16,S2,S1J06,0,4440,12000,S3,2095,6770,True,True,True,174590
S1J16,S2,S1J07,0,4460,8500,S2,4265,7160,True,True,True,136030
S1J16,S2,S1J07,0,4460,8500,S3,5180,13360,False,False,False,123350
S1J16,S2,S1J08,0,4840,9200,S2,4300,7750,True,True,True,188100
S1J16,S2,S1J08,0,4840,9200,S3,4465,7990,True,True,True,187860
S1J16,S2,S1J10,0,5240,10600,S2,2325,6570,True,True,True,503690
S1J16,S2,S1J10,0,5240,10600,S3,2790,6770,True,True,True,503490
S1J16,S2,S1J11,0,5620,11300,S2,5710,10040,False,True,False,545320
S1J16,S2,S1J11,0,5620,11300,S3,5500,6880,True,True,True,551360
S1J16,S2,S1J12,0,6000,12000,S2,4765,7750,True,True,True,492530
S1J16,S2,S1J12,0,6000,12000,S3,2680,7990,True,True,True,492290
S1J16,S2,S1J14,0,6400,9200,S2,5880,6570,True,True,True,455980
S1J16,S2,S1J14,0,6400,9200,S3,5820,6770,True,True,True,455780
S1J16,S2,S1J16,0,6800,10600,S2,5890,7750,True,True,True,563115
S1J16,S2,S1J16,0,6800,10600,S3,3020,7990,True,True,True,562875
S1J11,S3,S1J02,0,3280,9200,S2,3320,6930,False,True,False,184590
S1J11,S3,S1J02,0,3280,9200,S3,3240,6770,True,True,True,185110
S1J11,S3,S1J03,0,3660,9900,S2,1545,7160,True,True,True,159940
S1J11,S3,S1J03,0,3660,9900,S3,3455,6880,True,True,True,160220
S1J11,S3,S1J04,0,3680,10600,S2,2605,7750,True,True,True,236615
S1J11,S3,S1J04,0,3680,10600,S3,3020,7990,True,True,True,236375
S1J11,S3,S1J05,0,4060,11300,S2,1630,5980,True,True,True,233840
S1J11,S3,S1J05,0,4060,11300,S3,3275,5660,True,True,True,234160
S1J11,S3,S1J06,0,4440,12000,S2,2250,6570,True,True,True,132790
S1J11,S3,S1J06,0,4440,12000,S3,2095,6770,True,True,True,132590
S1J11,S3,S1J07,0,4460,8500,S2,5985,20885,False,False,False,167755
S1J11,S3,S1J07,0,4460,8500,S3,5180,13360,False,False,False,182525
S1J11,S3,S1J08,0,4840,9200,S2,4635,7750,True,True,True,194900
S1J11,S3,S1J08,0,4840,9200,S3,4465,7990,True,True,True,194660
S1J11,S3,S1J10,0,5240,10600,S2,3110,6570,True,True,True,524770
S1J11,S3,S1J10,0,5240,10600,S3,2790,6770,True,True,True,524570
S1J11,S3,S1J11,0,5620,11300,S2,5580,7160,True,True,True,572840
S1J11,S3,S1J11,0,5620,11300,S3,5500,6880,True,True,True,573120
S1J11,S3,S1J12,0,6000,12000,S2,5845,7750,True,True,True,504575
S1J11,S3,S1J12,0,6000,12000,S3,2680,7990,True,True,True,504335
S1J11,S3,S1J14,0,6400,9200,S2,5720,6570,True,True,True,475700
S1J11,S3,S1J14,0,6400,9200,S3,5820,6770,True,True,True,475500
S1J11,S3,S1J07,1,4906,9350,S2,5985,16871,False,False,False,171769
S1J11,S3,S1J07,1,4906,9350,S3,5180,9346,False,True,False,186539
S1J11,S3,S1J07,2,5397,10285,S2,5985,12452,False,False,False,176188
S1J11,S3,S1J07,2,5397,10285,S3,5250,6880,True,True,True,188375
S1J12,S2,S1J01,0,2900,8500,S2,1080,5980,True,True,True,157620
S1J12,S2,S1J01,0,2900,8500,S3,4040,14780,False,False,False,139700
S1J12,S2,S1J03,0,3660,9900,S2,1545,7160,True,True,True,180940
S1J12,S2,S1J03,0,3660,9900,S3,3685,7130,False,True,False,180720
S1J12,S2,S1J04,0,3680,10600,S2,2605,7750,True,True,True,233425
S1J12,S2,S1J04,0,3680,10600,S3,3730,8540,False,True,False,232085
S1J12,S2,S1J06,0,4440,12000,S2,2250,6570,True,True,True,156910
S1J12,S2,S1J06,0,4440,12000,S3,2470,6770,True,True,True,156710
S1J12,S2,S1J07,0,4460,8500,S2,5985,20885,False,False,False,139000
S1J12,S2,S1J07,0,4460,8500,S3,3695,6880,True,True,True,166730
S1J12,S2,S1J08,0,4840,9200,S2,4635,7750,True,True,True,151750
S1J12,S2,S1J08,0,4840,9200,S3,6010,19690,False,False,False,128110
S1J12,S2,S1J09,0,5220,9900,S2,4595,5980,True,True,True,486320
S1J12,S2,S1J09,0,5220,9900,S3,2980,5660,True,True,True,486640
S1J12,S2,S1J12,0,6000,12000,S2,5845,7750,True,True,True,604070
S1J12,S2,S1J12,0,6000,12000,S3,5770,7990,True,True,True,603830
S1J12,S2,S1J13,0,6020,8500,S2,4975,5980,True,True,True,470860
S1J12,S2,S1J13,0,6020,8500,S3,2910,5660,True,True,True,471180
S1J12,S2,S1J15,0,6780,9900,S2,5335,7160,True,True,True,452440
S1J12,S2,S1J15,0,6780,9900,S3,6715,6880,True,True,True,452720
S1J10,S3,S1J01,0,2900,8500,S2,3445,10340,False,False,False,153140
S1J10,S3,S1J01,0,2900,8500,S3,4040,14780,False,False,False,143940
S1J10,S3,S1J02,0,3280,9200,S2,2045,6570,True,True,True,161280
S1J10,S3,S1J02,0,3280,9200,S3,2440,6770,True,True,True,161080
S1J10,S3,S1J04,0,3680,10600,S2,3705,8025,False,True,False,235790
S1J10,S3,S1J04,0,3680,10600,S3,3730,8540,False,True,False,235000
S1J10,S3,S1J05,0,4060,11300,S2,1920,5980,True,True,True,218900
S1J10,S3,S1J05,0,4060,11300,S3,1395,5660,True,True,True,219220
S1J10,S3,S1J06,0,4440,12000,S2,4610,7930,False,True,False,155590
S1J10,S3,S1J06,0,4440,12000,S3,2470,6770,True,True,True,158110
S1J10,S3,S1J07,0,4460,8500,S2,4450,7160,True,True,True,172300
S1J10,S3,S1J07,0,4460,8500,S3,3695,6880,True,True,True,172580
S1J10,S3,S1J08,0,4840,9200,S2,3415,7750,True,True,True,167500
S1J10,S3,S1J08,0,4840,9200,S3,6010,19690,False,False,False,143860
S1J10,S3,S1J10,0,5240,10600,S2,5360,10290,False,True,False,472845
S1J10,S3,S1J10,0,5240,10600,S3,4895,6770,True,True,True,480085
S1J10,S3,S1J14,0,6400,9200,S2,4885,6570,True,True,True,434085
S1J10,S3,S1J14,0,6400,9200,S3,6085,6770,True,True,True,433885
S1J10,S3,S1J01,1,3191,9350,S2,2230,5980,True,True,True,161860
S1J10,S3,S1J01,1,3191,9350,S3,2760,5660,True,True,True,162180
S1J10,S3,S1J04,1,4049,10600,S2,5440,23051,False,False,False,201679
S1J10,S3,S1J04,1,4049,10600,S3,3915,7990,True,True,True,233515
S1J14,S2,S1J01,0,2900,8500,S2,3445,10340,False,False,False,127460
S1J14,S2,S1J01,0,2900,8500,S3,1080,5660,True,True,True,136500
S1J14,S2,S1J02,0,3280,9200,S2,2045,6570,True,True,True,172035
S1J14,S2,S1J02,0,3280,9200,S3,3440,8210,False,True,False,168955
S1J14,S2,S1J04,0,3680,10600,S2,3705,8025,False,True,False,194760
S1J14,S2,S1J04,0,3680,10600,S3,3295,7990,True,True,True,195070
S1J14,S2,S1J05,0,4060,11300,S2,1920,5980,True,True,True,233240
S1J14,S2,S1J05,0,4060,11300,S3,3465,5660,True,True,True,233560
S1J14,S2,S1J06,0,4440,12000,S2,4610,7930,False,True,False,125750
S1J14,S2,S1J06,0,4440,12000,S3,2470,6770,True,True,True,128270
S1J14,S2,S1J07,0,4460,8500,S2,4450,7160,True,True,True,136030
S1J14,S2,S1J07,0,4460,8500,S3,6195,22495,False,False,False,105080
S1J14,S2,S1J08,0,4840,9200,S2,3415,7750,True,True,True,179450
