job_name,winner,winner_due_date,winner_price,loss_reduction,tabu_jobs,candidate_count,evaluated_count,all_offers
S1J16,S2,5890,7750,563115,,12,12,"S2: due=5890, price=7750, feasible=True; S3: due=3020, price=7990, feasible=True"
S1J11,S3,5500,6880,573120,,11,11,"S2: due=5580, price=7160, feasible=True; S3: due=5500, price=6880, feasible=True"
S1J12,S2,5845,7750,604070,,10,10,"S2: due=5845, price=7750, feasible=True; S3: due=5770, price=7990, feasible=True"
S1J10,S3,4895,6770,480085,,9,9,"S2: due=5360, price=10290, feasible=False; S3: due=4895, price=6770, feasible=True"
S1J14,S2,4885,6570,468740,,8,8,"S2: due=4885, price=6570, feasible=True; S3: due=5585, price=6770, feasible=True"
S1J04,S3,3295,7990,212120,,7,7,"S2: due=4805, price=20125, feasible=False; S3: due=3295, price=7990, feasible=True"
S1J05,S2,3710,5980,232040,,7,7,"S2: due=3710, price=5980, feasible=True; S3: due=4205, price=7400, feasible=False"
S1J08,S2,4785,7750,171450,,5,5,"S2: due=4785, price=7750, feasible=True; S3: due=5850, price=18090, feasible=False"
S1J03,S2,1545,7160,159940,,4,4,"S2: due=1545, price=7160, feasible=True; S3: due=4695, price=17230, feasible=False"
S1J02,S2,2045,6570,161055,,3,3,"S2: due=2045, price=6570, feasible=True; S3: due=3520, price=8930, feasible=False"
S1J06,S2,3035,6570,126070,,2,2,"S2: due=3035, price=6570, feasible=True; S3: due=5400, price=14450, feasible=False"
