job_name,winner,winner_due_date,winner_price,loss_reduction,tabu_jobs,candidate_count,evaluated_count,all_offers
S1J16,S2,5890,7750,563115,,12,12,"S2: due=5890, price=7750, feasible=True; S3: due=3020, price=7990, feasible=True"
S1J11,S3,5500,6880,573120,,11,11,"S2: due=5580, price=7160, feasible=True; S3: due=5500, price=6880, feasible=True"
S1J12,S2,5845,7750,604070,,10,10,"S2: due=5845, price=7750, feasible=True; S3: due=5770, price=7990, feasible=True"
S1J10,S3,4895,6770,480085,,9,9,"S2: due=5360, price=10290, feasible=False; S3: due=4895, price=6770, feasible=True"
S1J14,S3,5585,6770,468540,,8,8,"S2: due=4885, price=6570, feasible=True; S3: due=5585, price=6770, feasible=True"
S1J04,S3,3195,7990,212120,,7,7,"S2: due=3705, price=8025, feasible=False; S3: due=3195, price=7990, feasible=True"
S1J05,S3,3000,5660,232360,,7,7,"S2: due=1920, price=5980, feasible=True; S3: due=3000, price=5660, feasible=True"
S1J08,S2,3415,7750,171450,,5,5,"S2: due=3415, price=7750, feasible=True; S3: due=5105, price=10640, feasible=False"
S1J02,S2,2665,6570,167535,,4,4,"S2: due=2665, price=6570, feasible=True; S3: due=3180, price=6770, feasible=True"
S1J01,S2,1465,5980,136180,,3,3,"S2: due=1465, price=5980, feasible=True; S3: due=6315, price=32980, feasible=False"
S1J06,S2,1945,6570,126070,,2,2,"S2: due=1945, price=6570, feasible=True; S3: due=6960, price=26930, feasible=False"
