job_name,winner,winner_due_date,winner_price,loss_reduction,negotiation_round,requested_due_date,requested_price,tabu_jobs,candidate_count,evaluated_count,all_offers
S1J11,S3,5500,6880,551360,0,5620,11300,"S1J06, S1J16",12,10,"S2: due=5710, price=10040, feasible=False; S3: due=5500, price=6880, feasible=True"
S1J10,S2,2325,6570,503690,0,5240,10600,"S1J04, S1J05",11,9,"S2: due=2325, price=6570, feasible=True; S3: due=4895, price=6770, feasible=True"
S1J14,S2,4500,6570,482950,0,6400,9200,"S1J02, S1J12",11,9,"S2: due=4500, price=6570, feasible=True; S3: due=6085, price=6770, feasible=True"
S1J12,S2,5735,7750,480320,0,6000,12000,"S1J01, S1J08",9,7,"S2: due=5735, price=7750, feasible=True; S3: due=5770, price=7990, feasible=True"
S1J16,S2,5380,7750,467790,0,6800,10600,"S1J03, S1J06",9,7,"S2: due=5380, price=7750, feasible=True; S3: due=5700, price=7990, feasible=True"
S1J05,S3,1395,5660,206620,0,4060,11300,"S1J04, S1J07",7,5,"S2: due=1630, price=5980, feasible=True; S3: due=1395, price=5660, feasible=True"
S1J08,S3,4480,7990,176060,1,5324,10120,S1J02,6,5,"S2: due=5610, price=10610, feasible=False; S3: due=4480, price=7990, feasible=True"
S1J02,S2,2090,6570,169020,0,3280,9200,S1J01,5,4,"S2: due=2090, price=6570, feasible=True; S3: due=1290, price=6770, feasible=True"
S1J04,S2,1815,7750,199930,0,3680,10600,"S1J03, S1J06",4,2,"S2: due=1815, price=7750, feasible=True; S3: due=5185, price=24545, feasible=False"
S1J01,S3,3450,5660,132100,2,3511,10285,S1J07,3,2,"S2: due=7755, price=39932, feasible=False; S3: due=3450, price=5660, feasible=True"
S1J06,S3,2255,6770,125870,2,5373,14522,,2,2,"S2: due=5615, price=8506, feasible=False; S3: due=2255, price=6770, feasible=True"
