job_name,resource_name,operation_number,start_time,finish_time
S2J01,R1,1,0,180
S2J01,R2,2,180,390
S2J01,R3,3,390,590
S2J02,R1,1,180,405
S2J02,R2,2,405,660
S2J02,R3,3,660,905
S2J04,R1,1,405,585
S2J04,R2,2,660,870
S2J04,R3,3,905,1105
S2J05,R1,1,585,810
S2J05,R2,2,870,1125
S2J05,R3,3,1125,1370
S2J03,R1,1,810,1080
S2J03,R2,2,1125,1425
S2J03,R3,3,1425,1715
S2J06,R1,1,1080,1350
S2J06,R2,2,1425,1725
S2J06,R3,3,1725,2015
S1J02,R1,1,1350,1625
S1J02,R2,2,1725,2040
S1J02,R3,3,2040,2335
S1J06,R1,1,1625,1900
S1J06,R2,2,2040,2355
S1J06,R3,3,2355,2650
S1J12,R1,1,1900,2245
S1J12,R2,2,2355,2740
S1J12,R3,3,2740,3105
