job_name,resource_name,operation_number,start_time,finish_time
S2J03,R2,1,180,445
S2J03,R1,2,445,725
S2J03,R4,3,725,1020
S2J03,R3,4,1020,1330
S1J05,R2,1,445,685
S1J05,R1,2,725,985
S1J05,R4,3,1020,1300
S1J05,R3,4,1330,1630
S2J01,R1,1,985,1170
S2J01,R3,2,1630,1830
S2J01,R2,3,1830,2045
S2J01,R4,4,2045,2275
S2J07,R1,1,1170,1355
S2J07,R3,2,1830,2030
S2J07,R2,3,2045,2260
S2J07,R4,4,2275,2505
S1J03,R1,1,1355,1665
S1J03,R3,2,2030,2360
S1J03,R2,3,2360,2710
S1J03,R4,4,2710,3080
S2J04,R3,1,2360,2545
S2J04,R4,2,3080,3280
S2J04,R2,3,3280,3495
S2J04,R1,4,3495,3725
S1J06,R3,1,2545,2820
S1J06,R4,2,3280,3575
S1J06,R2,3,3575,3890
S1J06,R1,4,3890,4225
S1J12,R3,1,2820,3165
S1J12,R4,2,3575,3940
S1J12,R2,3,3940,4325
S1J12,R1,4,4325,4730
S2J02,R4,1,3940,4165
S2J02,R2,2,4325,4565
S2J02,R3,3,4565,4820
S2J02,R1,4,4820,5090
S2J08,R4,1,4165,4390
S2J08,R2,2,4565,4805
S2J08,R3,3,4820,5075
S2J08,R1,4,5090,5360
S1J16,R4,1,4390,4735
S1J16,R2,2,4805,5170
S1J16,R3,3,5170,5555
S1J16,R1,4,5555,5960
S1J14,R2,1,5170,5445
S1J14,R4,2,5445,5740
S1J14,R1,3,5960,6275
S1J14,R3,4,6275,6610
S1J02,R2,1,5445,5720
S1J02,R4,2,5740,6035
S1J02,R1,3,6275,6590
S1J02,R3,4,6610,6945
S2J06,R2,1,5720,5985
S2J06,R4,2,6035,6315
S2J06,R1,3,6590,6885
S2J06,R3,4,6945,7255
S1J08,R2,1,5985,6330
S1J08,R4,2,6330,6695
S1J08,R1,3,6885,7270
S1J08,R3,4,7270,7675
S2J05,R3,1,7675,7900
S2J05,R1,2,7900,8140
S2J05,R4,3,8140,8395
S2J05,R2,4,8395,8665
