job_name,resource_name,operation_number,start_time,finish_time
S1J02,R2,1,70,345
S1J02,R4,2,345,640
S1J02,R1,3,640,955
S1J02,R3,4,955,1290
S2J02,R4,1,640,865
S2J02,R2,2,865,1105
S2J02,R3,3,1290,1545
S2J02,R1,4,1545,1815
S1J10,R4,1,865,1140
S1J10,R2,2,1140,1435
S1J10,R3,3,1545,1860
S1J10,R1,4,1860,2195
S1J04,R4,1,1140,1485
S1J04,R2,2,1485,1850
S1J04,R3,3,1860,2245
S1J04,R1,4,2245,2650
S1J16,R4,1,1485,1830
S1J16,R2,2,1850,2215
S1J16,R3,3,2245,2630
S1J16,R1,4,2650,3055
S2J04,R3,1,2630,2815
S2J04,R4,2,2815,3015
S2J04,R2,3,3015,3230
S2J04,R1,4,3230,3460
S1J12,R3,1,2815,3160
S1J12,R4,2,3160,3525
S1J12,R2,3,3525,3910
S1J12,R1,4,3910,4315
S2J08,R4,1,3525,3750
S2J08,R2,2,3910,4150
S2J08,R3,3,4150,4405
S2J08,R1,4,4405,4675
S2J06,R2,1,4150,4415
S2J06,R4,2,4415,4695
S2J06,R1,3,4695,4990
S2J06,R3,4,4990,5300
S1J14,R2,1,4415,4690
S1J14,R4,2,4695,4990
S1J14,R1,3,4990,5305
S1J14,R3,4,5305,5640
S2J03,R2,1,4690,4955
S2J03,R1,2,5305,5585
S2J03,R4,3,5585,5880
S2J03,R3,4,5880,6190
S2J07,R1,1,5585,5770
S2J07,R3,2,6190,6390
S2J07,R2,3,6390,6605
S2J07,R4,4,6605,6835
S2J01,R1,1,5770,5955
S2J01,R3,2,6390,6590
S2J01,R2,3,6605,6820
S2J01,R4,4,6835,7065
S2J05,R3,1,6590,6815
S2J05,R1,2,6815,7055
S2J05,R4,3,7065,7320
S2J05,R2,4,7320,7590
