job_name,resource_name,operation_number,start_time,finish_time
S2J01,R1,1,0,185
S2J01,R3,2,185,385
S2J01,R2,3,385,600
S2J01,R4,4,600,830
S2J05,R3,1,385,610
S2J05,R1,2,610,850
S2J05,R4,3,850,1105
S2J05,R2,4,1105,1375
S2J04,R3,1,610,795
S2J04,R4,2,1105,1305
S2J04,R2,3,1375,1590
S2J04,R1,4,1590,1820
S2J02,R4,1,1305,1530
S2J02,R2,2,1590,1830
S2J02,R3,3,1830,2085
S2J02,R1,4,2085,2355
S2J08,R4,1,1530,1755
S2J08,R2,2,1830,2070
S2J08,R3,3,2085,2340
S2J08,R1,4,2355,2625
S2J03,R2,1,2070,2335
S2J03,R1,2,2625,2905
S2J03,R4,3,2905,3200
S2J03,R3,4,3200,3510
S2J06,R2,1,2335,2600
S2J06,R4,2,3200,3480
S2J06,R1,3,3480,3775
S2J06,R3,4,3775,4085
S2J07,R1,1,3775,3960
S2J07,R3,2,4085,4285
S2J07,R2,3,4285,4500
S2J07,R4,4,4500,4730
