job_name,resource_name,operation_number,start_time,finish_time
S3J02,R2,1,90,315
S3J02,R1,2,315,555
S3J02,R4,3,555,810
S3J02,R3,4,810,1080
S1J05,R2,1,315,555
S1J05,R1,2,555,815
S1J05,R4,3,815,1095
S1J05,R3,4,1095,1395
S3J08,R2,1,630,855
S3J08,R1,2,855,1095
S3J08,R4,3,1095,1350
S3J08,R3,4,1395,1665
S1J11,R2,1,855,1165
S1J11,R1,2,1165,1495
S1J11,R4,3,1495,1845
S1J11,R3,4,1845,2215
S3J05,R2,1,1165,1390
S3J05,R4,2,1845,2085
S3J05,R1,3,2085,2340
S3J05,R3,4,2340,2610
S1J14,R2,1,1390,1665
S1J14,R4,2,2085,2380
S1J14,R1,3,2380,2695
S1J14,R3,4,2695,3030
S3J01,R4,1,2380,2565
S3J01,R2,2,2565,2765
S3J01,R3,3,3030,3245
S3J01,R1,4,3245,3475
S1J04,R4,1,2565,2910
S1J04,R2,2,2910,3275
S1J04,R3,3,3275,3660
S1J04,R1,4,3660,4065
S3J07,R4,1,2910,3095
S3J07,R2,2,3275,3475
S3J07,R3,3,3660,3875
S3J07,R1,4,4065,4295
S1J10,R4,1,3095,3370
S1J10,R2,2,3475,3770
S1J10,R3,3,3875,4190
S1J10,R1,4,4295,4630
S3J03,R3,1,4190,4455
S3J03,R4,2,4455,4735
S3J03,R2,3,4735,5030
S3J03,R1,4,5030,5340
S3J04,R3,1,4455,4640
S3J04,R1,2,5340,5540
S3J04,R4,3,5540,5755
S3J04,R2,4,5755,5985
S3J06,R1,1,5540,5805
S3J06,R3,2,5805,6085
S3J06,R2,3,6085,6380
S3J06,R4,4,6380,6690
