job_name,resource_name,operation_number,start_time,finish_time
S1J01,R1,1,0,240
S1J01,R2,2,240,520
S1J01,R3,3,520,780
S1J05,R1,1,280,520
S1J05,R2,2,520,800
S1J05,R3,3,800,1060
S1J04,R1,1,520,865
S1J04,R2,2,865,1250
S1J04,R3,3,1250,1615
S1J10,R1,1,865,1140
S1J10,R2,2,1250,1565
S1J10,R3,3,1615,1910
S1J09,R1,1,1140,1380
S1J09,R2,2,1565,1845
S1J09,R3,3,1910,2170
S1J08,R1,1,1380,1725
S1J08,R2,2,1845,2230
S1J08,R3,3,2230,2595
S1J03,R1,1,1725,2035
S1J03,R2,2,2230,2580
S1J03,R3,3,2595,2925
