job_name,resource_name,operation_number,start_time,finish_time
S1J03,R1,1,140,450
S1J03,R3,2,450,780
S1J03,R2,3,780,1130
S1J03,R4,4,1130,1500
S1J09,R1,1,560,800
S1J09,R3,2,800,1060
S1J09,R2,3,1130,1410
S1J09,R4,4,1500,1800
S1J15,R1,1,980,1290
S1J15,R3,2,1290,1620
S1J15,R2,3,1620,1970
S1J15,R4,4,1970,2340
S1J13,R3,1,1620,1860
S1J13,R1,2,1860,2120
S1J13,R4,3,2340,2620
S1J13,R2,4,2620,2920
S1J07,R3,1,1860,2170
S1J07,R1,2,2170,2500
S1J07,R4,3,2620,2970
S1J07,R2,4,20000,20370
S1J12,R3,1,2170,2515
S1J12,R4,2,20000,20365
S1J12,R2,3,20370,20755
S1J12,R1,4,20755,21160
S1J10,R4,1,20365,20640
S1J10,R2,2,20755,21050
S1J10,R3,3,21050,21365
S1J10,R1,4,21365,21700
S1J14,R2,1,21050,21325
S1J14,R4,2,21325,21620
S1J14,R1,3,21700,22015
S1J14,R3,4,22015,22350
S1J11,R2,1,21325,21635
S1J11,R1,2,22015,22345
S1J11,R4,3,22345,22695
S1J11,R3,4,22695,23065
S1J05,R2,1,21635,21875
S1J05,R1,2,22345,22605
S1J05,R4,3,22695,22975
S1J05,R3,4,23065,23365
S1J02,R2,1,21875,22150
S1J02,R4,2,22975,23270
S1J02,R1,3,23270,23585
S1J02,R3,4,23585,23920
S1J08,R2,1,22150,22495
S1J08,R4,2,23270,23635
S1J08,R1,3,23635,24020
S1J08,R3,4,24020,24425
S1J16,R4,1,23635,23980
S1J16,R2,2,23980,24345
S1J16,R3,3,24425,24810
S1J16,R1,4,24810,25215
S1J04,R4,1,23980,24325
S1J04,R2,2,24345,24710
S1J04,R3,3,24810,25195
S1J04,R1,4,25215,25620
S1J01,R3,1,25195,25435
S1J01,R1,2,25620,25880
S1J01,R4,3,25880,26160
S1J01,R2,4,26160,26460
S1J06,R3,1,25435,25710
S1J06,R4,2,26160,26455
S1J06,R2,3,26460,26775
S1J06,R1,4,26775,27110
