job_name,winner,winner_due_date,winner_price,loss_reduction,tabu_jobs,candidate_count,evaluated_count,all_offers
S1J01,S2,2475,5980,147780,,,,"S2: due=2475, price=5980, feasible=True; S3: due=2475, price=6160, feasible=True"
S1J02,S2,3120,6570,169380,,,,"S2: due=3120, price=6570, feasible=True; S3: due=3130, price=6770, feasible=True"
S1J03,S2,3490,7160,178440,,,,"S2: due=3490, price=7160, feasible=True; S3: due=3165, price=7380, feasible=True"
S1J04,S2,3625,7750,191845,,,,"S2: due=3625, price=7750, feasible=True; S3: due=3260, price=7990, feasible=True"
S1J06,S2,4270,6570,138070,,,,"S2: due=4270, price=6570, feasible=True; S3: due=3130, price=6770, feasible=True"
S1J07,S2,4425,7160,153400,,,,"S2: due=4425, price=7160, feasible=True; S3: due=3165, price=7380, feasible=True"
S1J05,S2,4030,5980,205940,,,,"S2: due=4030, price=5980, feasible=True; S3: due=2475, price=6160, feasible=True"
S1J08,S3,3260,7990,161860,,,,"S2: due=5095, price=10300, feasible=False; S3: due=3260, price=7990, feasible=True"
S1J13,S2,5525,5980,403240,,,,"S2: due=5525, price=5980, feasible=True; S3: due=2475, price=6160, feasible=True"
S1J14,S2,5845,6570,397545,,,,"S2: due=5845, price=6570, feasible=True; S3: due=3130, price=6770, feasible=True"
S1J15,S2,6230,7160,400540,,,,"S2: due=6230, price=7160, feasible=True; S3: due=3165, price=7380, feasible=True"
S1J16,S2,6620,7750,414005,,,,"S2: due=6620, price=7750, feasible=True; S3: due=3260, price=7990, feasible=True"
S1J09,NoContract,,,,,,,"S2: due=4965, price=5980, feasible=True; S3: due=2475, price=6160, feasible=True"
S1J10,NoContract,,,,,,,"S2: due=5290, price=8120, feasible=False; S3: due=3130, price=6770, feasible=True"
S1J11,NoContract,,,,,,,"S2: due=5580, price=7160, feasible=True; S3: due=3165, price=7380, feasible=True"
S1J12,NoContract,,,,,,,"S2: due=5915, price=7750, feasible=True; S3: due=3665, price=7990, feasible=True"
