job_name,resource_name,operation_number,start_time,finish_time
S3J01,R1,1,0,185
S3J01,R2,2,185,385
S3J01,R3,3,385,600
S3J01,R4,4,600,830
S3J02,R1,1,185,410
S3J02,R2,2,410,650
S3J02,R3,3,650,905
S3J02,R4,4,905,1175
S3J04,R1,1,410,595
S3J04,R2,2,650,850
S3J04,R3,3,905,1120
S3J04,R4,4,1175,1405
S3J07,R1,1,595,780
S3J07,R2,2,850,1050
S3J07,R3,3,1120,1335
S3J07,R4,4,1405,1635
S3J08,R1,1,780,1005
S3J08,R2,2,1050,1290
S3J08,R3,3,1335,1590
S3J08,R4,4,1635,1905
S3J05,R1,1,1005,1230
S3J05,R2,2,1290,1530
S3J05,R3,3,1590,1845
S3J05,R4,4,1905,2175
S1J01,R1,1,1230,1470
S1J01,R2,2,1530,1790
S1J01,R3,3,1845,2125
S1J01,R4,4,2175,2475
S1J13,R1,1,1470,1710
S1J13,R2,2,1790,2050
S1J13,R3,3,2125,2405
S1J13,R4,4,2475,2775
S3J03,R1,1,1710,1975
S3J03,R2,2,2050,2330
S3J03,R3,3,2405,2700
S3J03,R4,4,2775,3085
S1J03,R1,1,1975,2285
S1J03,R2,2,2330,2660
S1J03,R3,3,2700,3050
S1J03,R4,4,3085,3455
S3J06,R1,1,2285,2550
S3J06,R2,2,2660,2940
S3J06,R3,3,3050,3345
S3J06,R4,4,3455,3765
S1J07,R1,1,2550,2860
S1J07,R2,2,2940,3270
S1J07,R3,3,3345,3695
S1J07,R4,4,3765,4135
S1J15,R1,1,2860,3170
S1J15,R2,2,3270,3600
S1J15,R3,3,3695,4045
S1J15,R4,4,4135,4505
