job_name,winner,winner_due_date,winner_price,all_offers
S1J01,S2,2475,5980,"S2: due=2475, price=5980, feasible=True; S3: due=2475, price=6160, feasible=True"
S1J02,S2,3120,6570,"S2: due=3120, price=6570, feasible=True; S3: due=3130, price=6770, feasible=True"
S1J03,S2,3490,7160,"S2: due=3490, price=7160, feasible=True; S3: due=3165, price=7380, feasible=True"
S1J04,S2,3625,7750,"S2: due=3625, price=7750, feasible=True; S3: due=3260, price=7990, feasible=True"
S1J06,S2,4270,6570,"S2: due=4270, price=6570, feasible=True; S3: due=3130, price=6770, feasible=True"
S1J07,S2,4425,7160,"S2: due=4425, price=7160, feasible=True; S3: due=3165, price=7380, feasible=True"
S1J05,S2,4030,5980,"S2: due=4030, price=5980, feasible=True; S3: due=2475, price=6160, feasible=True"
S1J08,S3,3260,7990,"S2: due=5095, price=10300, feasible=False; S3: due=3260, price=7990, feasible=True"
S1J13,S2,5510,5980,"S2: due=5510, price=5980, feasible=True; S3: due=2475, price=6160, feasible=True"
S1J14,S2,5905,6570,"S2: due=5905, price=6570, feasible=True; S3: due=3130, price=6770, feasible=True"
S1J15,S2,6220,7160,"S2: due=6220, price=7160, feasible=True; S3: due=3165, price=7380, feasible=True"
S1J16,S2,6635,7750,"S2: due=6635, price=7750, feasible=True; S3: due=3260, price=7990, feasible=True"
S1J09,NoContract,,,"S2: due=5035, price=5980, feasible=True; S3: due=2475, price=6160, feasible=True"
S1J10,NoContract,,,"S2: due=5325, price=9205, feasible=False; S3: due=3430, price=6770, feasible=True"
S1J11,NoContract,,,"S2: due=5695, price=9560, feasible=False; S3: due=3800, price=7380, feasible=True"
S1J12,NoContract,,,"S2: due=6010, price=8080, feasible=False; S3: due=4205, price=7990, feasible=True"
