job_name,resource_name,operation_number,start_time,finish_time
Work3,R1,1,140,450
Work3,R2,2,450,800
Work3,R3,3,800,1130
Work4,R1,1,450,795
Work4,R2,2,800,1185
Work4,R3,3,1185,1550
Work12,R1,1,795,1140
Work12,R2,2,1185,1570
Work12,R3,3,1570,1935
Work8,R1,1,1140,1485
Work8,R2,2,1570,1955
Work8,R3,3,1955,2320
Work11,R1,1,1485,1795
Work11,R2,2,1955,2305
Work11,R3,3,2320,2650
Work7,R1,1,1795,2105
Work7,R2,2,2305,2655
Work7,R3,3,2655,2985
Work6,R1,1,2105,2380
Work6,R2,2,2655,2970
Work6,R3,3,2985,3280
