job_name,winner,winner_due_date,winner_price,all_offers
S1J01,NoContract,,,"S2: due=2475, price=6150, feasible=True; S3: due=2475, price=6280, feasible=True"
S1J02,NoContract,,,"S2: due=3120, price=6740, feasible=True; S3: due=3120, price=6890, feasible=True"
S1J06,NoContract,,,"S2: due=3765, price=6740, feasible=True; S3: due=3765, price=6890, feasible=True"
S1J07,NoContract,,,"S2: due=4175, price=7330, feasible=True; S3: due=4135, price=7500, feasible=True"
S1J03,NoContract,,,"S2: due=3220, price=7330, feasible=True; S3: due=3220, price=7500, feasible=True"
S1J08,NoContract,,,"S2: due=4640, price=7920, feasible=True; S3: due=4640, price=8110, feasible=True"
S1J11,NoContract,,,"S2: due=5280, price=7330, feasible=True; S3: due=5280, price=7500, feasible=True"
S1J12,NoContract,,,"S2: due=5685, price=7920, feasible=True; S3: due=5685, price=8110, feasible=True"
S1J09,NoContract,,,"S2: due=5210, price=6150, feasible=True; S3: due=5210, price=6280, feasible=True"
S1J04,NoContract,,,"S2: due=3455, price=7920, feasible=True; S3: due=3410, price=8110, feasible=True"
S1J13,NoContract,,,"S2: due=5975, price=6150, feasible=True; S3: due=5975, price=6280, feasible=True"
S1J14,NoContract,,,"S2: due=6370, price=6740, feasible=True; S3: due=6670, price=9860, feasible=False"
S1J15,NoContract,,,"S2: due=7025, price=10270, feasible=False; S3: due=7025, price=10440, feasible=False"
S1J16,NoContract,,,"S2: due=7815, price=16040, feasible=False; S3: due=7815, price=16230, feasible=False"
S1J05,NoContract,,,"S2: due=2755, price=6150, feasible=True; S3: due=2005, price=6280, feasible=True"
S1J10,NoContract,,,"S2: due=5550, price=10460, feasible=False; S3: due=5280, price=7370, feasible=False"
