job_name,winner,winner_due_date,winner_price,all_offers
S1J01,S2,2475,6150,"S2: due=2475, price=6150, feasible=True; S3: due=2475, price=6280, feasible=True"
S1J06,S3,3130,6890,"S2: due=3430, price=6740, feasible=True; S3: due=3130, price=6890, feasible=True"
S1J04,S2,3505,7920,"S2: due=3505, price=7920, feasible=True; S3: due=3540, price=8110, feasible=True"
S1J07,S3,3500,7500,"S2: due=3875, price=7330, feasible=True; S3: due=3500, price=7500, feasible=True"
S1J08,S3,3905,8110,"S2: due=3910, price=7920, feasible=True; S3: due=3905, price=8110, feasible=True"
S1J02,S2,3120,6740,"S2: due=3120, price=6740, feasible=True; S3: due=3130, price=6890, feasible=True"
S1J11,S3,3870,7500,"S2: due=4205, price=7330, feasible=True; S3: due=3870, price=7500, feasible=True"
S1J12,S2,4240,7920,"S2: due=4240, price=7920, feasible=True; S3: due=4680, price=8110, feasible=True"
S1J13,S3,2475,6280,"S2: due=3825, price=6150, feasible=True; S3: due=2475, price=6280, feasible=True"
S1J14,S3,3765,6890,"S2: due=4170, price=6740, feasible=True; S3: due=3765, price=6890, feasible=True"
S1J16,S2,4240,7920,"S2: due=4240, price=7920, feasible=True; S3: due=5315, price=8110, feasible=True"
S1J03,S2,3220,7330,"S2: due=3220, price=7330, feasible=True; S3: due=3465, price=7500, feasible=True"
S1J05,S3,2475,6280,"S2: due=3925, price=6150, feasible=True; S3: due=2475, price=6280, feasible=True"
S1J09,S3,3085,6280,"S2: due=4505, price=6150, feasible=True; S3: due=3085, price=6280, feasible=True"
S1J10,S2,4540,6740,"S2: due=4540, price=6740, feasible=True; S3: due=5140, price=6890, feasible=True"
S1J15,S2,4910,7330,"S2: due=4910, price=7330, feasible=True; S3: due=5880, price=7500, feasible=True"
