job_name,resource_name,operation_number,start_time,finish_time
S1J01,R1,1,0,240
S1J01,R2,2,240,500
S1J01,R3,3,500,780
S1J01,R4,4,780,1080
S2J01,R1,1,240,425
S2J01,R2,2,500,700
S2J01,R3,3,780,995
S2J01,R4,4,1080,1310
S2J02,R1,1,425,650
S2J02,R2,2,700,940
S2J02,R3,3,995,1250
S2J02,R4,4,1310,1580
S2J04,R1,1,650,835
S2J04,R2,2,940,1140
S2J04,R3,3,1250,1465
S2J04,R4,4,1580,1810
S2J03,R1,1,835,1100
S2J03,R2,2,1140,1420
S2J03,R3,3,1465,1760
S2J03,R4,4,1810,2120
S1J02,R1,1,1100,1375
S1J02,R2,2,1420,1715
S1J02,R3,3,1760,2075
S1J02,R4,4,2120,2455
S2J05,R1,1,1375,1600
S2J05,R2,2,1715,1955
S2J05,R3,3,2075,2330
S2J05,R4,4,2455,2725
S1J04,R1,1,1600,1945
S1J04,R2,2,1955,2320
S1J04,R3,3,2330,2715
S1J04,R4,4,2725,3130
S1J03,R1,1,1945,2255
S1J03,R2,2,2320,2650
S1J03,R3,3,2715,3065
S1J03,R4,4,3130,3500
S1J05,R1,1,2255,2495
S1J05,R2,2,2650,2910
S1J05,R3,3,3065,3345
S1J05,R4,4,3500,3800
S1J06,R1,1,2495,2770
S1J06,R2,2,2910,3205
S1J06,R3,3,3345,3660
S1J06,R4,4,3800,4135
S1J07,R1,1,2770,3080
S1J07,R2,2,3205,3535
S1J07,R3,3,3660,4010
S1J07,R4,4,4135,4505
S2J07,R1,1,3080,3265
S2J07,R2,2,3535,3735
S2J07,R3,3,4010,4225
S2J07,R4,4,4505,4735
S2J06,R1,1,3265,3530
S2J06,R2,2,3735,4015
S2J06,R3,3,4225,4520
S2J06,R4,4,4735,5045
S2J08,R1,1,3530,3755
S2J08,R2,2,4015,4255
S2J08,R3,3,4520,4775
S2J08,R4,4,5045,5315
S1J13,R1,1,3755,3995
S1J13,R2,2,4255,4515
S1J13,R3,3,4775,5055
S1J13,R4,4,5315,5615
S1J14,R1,1,3995,4270
S1J14,R2,2,4515,4810
S1J14,R3,3,5055,5370
S1J14,R4,4,5615,5950
S1J15,R1,1,4270,4580
S1J15,R2,2,4810,5140
S1J15,R3,3,5370,5720
S1J15,R4,4,5950,6320
S1J16,R1,1,4580,4925
S1J16,R2,2,5140,5505
S1J16,R3,3,5720,6105
S1J16,R4,4,6320,6725
