job_name,resource_name,operation_number,start_time,finish_time
S2J01,R1,1,0,185
S2J01,R2,2,185,385
S2J01,R3,3,385,600
S2J01,R4,4,600,830
S2J02,R1,1,185,410
S2J02,R2,2,410,650
S2J02,R3,3,650,905
S2J02,R4,4,905,1175
S2J04,R1,1,410,595
S2J04,R2,2,650,850
S2J04,R3,3,905,1120
S2J04,R4,4,1175,1405
S2J07,R1,1,595,780
S2J07,R2,2,850,1050
S2J07,R3,3,1120,1335
S2J07,R4,4,1405,1635
S1J01,R1,1,780,1020
S1J01,R2,2,1050,1310
S1J01,R3,3,1335,1615
S1J01,R4,4,1635,1935
S2J03,R1,1,1020,1285
S2J03,R2,2,1310,1590
S2J03,R3,3,1615,1910
S2J03,R4,4,1935,2245
S2J05,R1,1,1285,1510
S2J05,R2,2,1590,1830
S2J05,R3,3,1910,2165
S2J05,R4,4,2245,2515
S1J03,R1,1,1510,1820
S1J03,R2,2,1830,2160
S1J03,R3,3,2165,2515
S1J03,R4,4,2515,2885
S1J04,R1,1,1820,2165
S1J04,R2,2,2165,2530
S1J04,R3,3,2530,2915
S1J04,R4,4,2915,3320
S2J06,R1,1,2165,2430
S2J06,R2,2,2530,2810
S2J06,R3,3,2915,3210
S2J06,R4,4,3320,3630
S1J06,R1,1,2430,2705
S1J06,R2,2,2810,3105
S1J06,R3,3,3210,3525
S1J06,R4,4,3630,3965
S1J07,R1,1,2705,3015
S1J07,R2,2,3105,3435
S1J07,R3,3,3525,3875
S1J07,R4,4,3965,4335
S1J08,R1,1,3015,3360
S1J08,R2,2,3435,3800
S1J08,R3,3,3875,4260
S1J08,R4,4,4335,4740
S1J10,R1,1,3360,3635
S1J10,R2,2,3800,4095
S1J10,R3,3,4260,4575
S1J10,R4,4,4740,5075
S2J08,R1,1,3635,3860
S2J08,R2,2,4095,4335
S2J08,R3,3,4575,4830
S2J08,R4,4,5075,5345
S1J12,R1,1,3860,4205
S1J12,R2,2,4335,4700
S1J12,R3,3,4830,5215
S1J12,R4,4,5345,5750
S1J14,R1,1,4205,4480
S1J14,R2,2,4700,4995
S1J14,R3,3,5215,5530
S1J14,R4,4,5750,6085
S1J16,R1,1,4480,4825
S1J16,R2,2,4995,5360
S1J16,R3,3,5530,5915
S1J16,R4,4,6085,6490
