job_name,resource_name,operation_number,start_time,finish_time
S2J01,R1,1,0,185
S2J01,R2,2,185,385
S2J01,R3,3,385,600
S2J01,R4,4,600,830
S2J03,R1,1,185,450
S2J03,R2,2,450,730
S2J03,R3,3,730,1025
S2J03,R4,4,1025,1335
S2J07,R1,1,540,725
S2J07,R2,2,730,930
S2J07,R3,3,1025,1240
S2J07,R4,4,1335,1565
S2J04,R1,1,725,910
S2J04,R2,2,930,1130
S2J04,R3,3,1240,1455
S2J04,R4,4,1565,1795
S2J02,R1,1,910,1135
S2J02,R2,2,1135,1375
S2J02,R3,3,1455,1710
S2J02,R4,4,1795,2065
S2J05,R1,1,1135,1360
S2J05,R2,2,1375,1615
S2J05,R3,3,1710,1965
S2J05,R4,4,2065,2335
S1J01,R1,1,1360,1600
S1J01,R2,2,1615,1875
S1J01,R3,3,1965,2245
S1J01,R4,4,2335,2635
S1J03,R1,1,1600,1910
S1J03,R2,2,1910,2240
S1J03,R3,3,2245,2595
S1J03,R4,4,2635,3005
S1J04,R1,1,1910,2255
S1J04,R2,2,2255,2620
S1J04,R3,3,2620,3005
S1J04,R4,4,3005,3410
S2J06,R1,1,2255,2520
S2J06,R2,2,2620,2900
S2J06,R3,3,3005,3300
S2J06,R4,4,3410,3720
S1J06,R1,1,2520,2795
S1J06,R2,2,2900,3195
S1J06,R3,3,3300,3615
S1J06,R4,4,3720,4055
S1J07,R1,1,2795,3105
S1J07,R2,2,3195,3525
S1J07,R3,3,3615,3965
S1J07,R4,4,4055,4425
S1J08,R1,1,3105,3450
S1J08,R2,2,3525,3890
S1J08,R3,3,3965,4350
S1J08,R4,4,4425,4830
S2J08,R1,1,3450,3675
S2J08,R2,2,3890,4130
S2J08,R3,3,4350,4605
S2J08,R4,4,4830,5100
S1J13,R1,1,3675,3915
S1J13,R2,2,4130,4390
S1J13,R3,3,4605,4885
S1J13,R4,4,5100,5400
S1J14,R1,1,3915,4190
S1J14,R2,2,4390,4685
S1J14,R3,3,4885,5200
S1J14,R4,4,5400,5735
S1J15,R1,1,4190,4500
S1J15,R2,2,4685,5015
S1J15,R3,3,5200,5550
S1J15,R4,4,5735,6105
S1J16,R1,1,4500,4845
S1J16,R2,2,5015,5380
S1J16,R3,3,5550,5935
S1J16,R4,4,6105,6510
