job_name,resource_name,operation_number,start_time,finish_time
S1J02,R1,1,70,345
S1J02,R2,2,345,640
S1J02,R3,3,640,955
S1J02,R4,4,955,1290
S1J05,R1,1,345,585
S1J05,R2,2,640,900
S1J05,R3,3,955,1235
S1J05,R4,4,1290,1590
S1J09,R1,1,585,825
S1J09,R2,2,900,1160
S1J09,R3,3,1235,1515
S1J09,R4,4,1590,1890
S1J11,R1,1,825,1135
S1J11,R2,2,1160,1490
S1J11,R3,3,1515,1865
S1J11,R4,4,1890,2260
S1J13,R1,1,1135,1375
S1J13,R2,2,1490,1750
S1J13,R3,3,1865,2145
S1J13,R4,4,2260,2560
S1J15,R1,1,1375,1685
S1J15,R2,2,1750,2080
S1J15,R3,3,2145,2495
S1J15,R4,4,2560,2930
