job_name,resource_name,operation_number,start_time,finish_time
S1J01,R1,1,0,240
S1J01,R2,2,240,500
S1J01,R3,3,500,780
S1J01,R4,4,780,1080
S1J03,R1,1,240,550
S1J03,R2,2,550,880
S1J03,R3,3,880,1230
S1J03,R4,4,1230,1600
S1J13,R1,1,840,1080
S1J13,R2,2,1080,1340
S1J13,R3,3,1340,1620
S1J13,R4,4,1620,1920
S1J09,R1,1,1080,1320
S1J09,R2,2,1340,1600
S1J09,R3,3,1620,1900
S1J09,R4,4,1920,2220
S1J10,R1,1,1320,1595
S1J10,R2,2,1600,1895
S1J10,R3,3,1900,2215
S1J10,R4,4,2220,2555
S1J11,R1,1,1595,1905
S1J11,R2,2,1905,2235
S1J11,R3,3,2235,2585
S1J11,R4,4,2585,2955
S1J12,R1,1,1905,2250
S1J12,R2,2,2250,2615
S1J12,R3,3,2615,3000
S1J12,R4,4,20000,20405
S1J02,R1,1,2250,2525
S1J02,R2,2,2615,2910
S1J02,R3,3,20000,20315
S1J02,R4,4,20405,20740
S1J14,R1,1,2525,2800
S1J14,R2,2,20000,20295
S1J14,R3,3,20315,20630
S1J14,R4,4,20740,21075
S1J06,R1,1,20000,20275
S1J06,R2,2,20295,20590
S1J06,R3,3,20630,20945
S1J06,R4,4,21075,21410
S1J15,R1,1,20275,20585
S1J15,R2,2,20590,20920
S1J15,R3,3,20945,21295
S1J15,R4,4,21410,21780
S1J16,R1,1,20585,20930
S1J16,R2,2,20930,21295
S1J16,R3,3,21295,21680
S1J16,R4,4,21780,22185
S1J08,R1,1,20930,21275
S1J08,R2,2,21295,21660
S1J08,R3,3,21680,22065
S1J08,R4,4,22185,22590
S1J04,R1,1,21275,21620
S1J04,R2,2,21660,22025
S1J04,R3,3,22065,22450
S1J04,R4,4,22590,22995
S1J07,R1,1,21620,21930
S1J07,R2,2,22025,22355
S1J07,R3,3,22450,22800
S1J07,R4,4,22995,23365
S1J05,R1,1,21930,22170
S1J05,R2,2,22355,22615
S1J05,R3,3,22800,23080
S1J05,R4,4,23365,23665
